times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

052.486  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
052.507  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
052.529  000.009  000.009: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
052.594  000.012  000.012: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/orgmode.nvim/ftdetect/org.vim
052.616  000.011  000.011: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/orgmode.nvim/ftdetect/org_archive.vim
052.656  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/pest.vim/ftdetect/pest.vim
052.707  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/ron.vim/ftdetect/ron.vim
052.754  000.023  000.023: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/rust.vim/ftdetect/rust.vim
052.807  000.012  000.012: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/typescript-vim/ftdetect/typescript.vim
052.869  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
053.070  000.172  000.172: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-glsl/ftdetect/glsl.vim
053.110  000.008  000.008: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/flow.vim
053.142  000.022  000.022: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/javascript.vim
053.253  000.087  000.087: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-jsonc/ftdetect/jsonc.vim
053.313  000.033  000.033: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-markdown/ftdetect/markdown.vim
053.395  000.025  000.025: sourcing /home/chris/.local/share/nvim/site/pack/packer/start/vim-toml/ftdetect/toml.vim
053.541  000.009  000.009: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
